1|ʌ|^_cut1.mp3
2|ɑ|a_far1.mp3
3|æ|ae_cat1.mp3
4|b|b_bet1.mp3
5|ʧ|ch_cheap1.mp3
6|d|d_dog1.mp3
7|e|e_bet1.mp3
8|eɪ|ei_hate1.mp3
9|ɜ:|3_work1.mp3
10|f|f_fog1.mp3
11|ɪ|I_it1.mp3
12|i:|i_sheep1.mp3
13|l|l_lane1.mp3
14|ŋ|ng_thing1.mp3
15|ŋk|nk_think1.mp3
16|ɔ|)_walk1.mp3
17|p|p_pin1.mp3
18|r|r_rain1.mp3
19|s|s_sip1.mp3
20|ʃ|sh_ship1.mp3
21|t|t_tin1.mp3
22|Ɵ|th_think1.mp3
23|ð|th_those1.mp3
24|ʊ|_u_full1.mp3
25|u|U_pool1.mp3
26|v|v_vent1.mp3
27|w|w_went1.mp3
28|z|z_zip1.mp3
